V1,V2
1.323646129,1.348331408
1.326301505,1.34417653
1.310564648,1.350283269
1.331861413,1.34258476
1.304844671,1.337460525
1.307253934,1.358497733
1.310147456,1.360775223
1.31721521,1.355548575
1.310768805,1.349819117
1.331393538,1.353111845
1.318143244,1.340837934
1.330467416,1.3441249
1.325949742,1.341072962
1.312470421,1.34986646
1.32214796,1.344768019
1.320013185,1.346512197
1.308998669,1.342618567
1.316125679,1.346350372
1.313252821,1.348434675
1.302492526,1.333176314
1.314214448,1.350771389
1.304734717,1.341015477
1.334024237,1.345193435
1.319136019,1.354984829
1.306397261,1.351746693
1.319386463,1.338955105
1.304145882,1.350760914
1.320228874,1.338331402
1.317933964,1.353114261
1.315823375,1.340744588
1.303722588,1.353219338
1.313585823,1.345294195
1.304454591,1.339758162
1.304970098,1.354399776
1.309157702,1.346995955
1.329005316,1.358608277
1.304789351,1.346023346
1.326173711,1.342077325
1.320897184,1.354836296
1.312649266,1.351133384
1.312163441,1.356837673
1.321164398,1.349637302
1.312446906,1.357394803
1.313750155,1.348959536
1.324037873,1.352473281
1.325566483,1.343043341
1.30545927,1.347255671
1.326915324,1.340471113
1.314942547,1.353832307
1.314595028,1.365264694
1.32163047,1.354218251
1.322102572,1.359087457
1.313502939,1.361745441
1.322506497,1.358842831
1.299251223,1.33893132
1.315942496,1.343287235
1.313556754,1.356612339
1.306193368,1.329192414
1.32250335,1.338602183
1.308228299,1.340572858
1.314214473,1.353742977
1.328053864,1.342125384
1.320332197,1.344162081
1.318120683,1.359071516
1.314358042,1.356959567
1.319003823,1.347817529
1.315263542,1.349661231
1.318978578,1.344585804
1.317046983,1.341558993
1.305521467,1.35352481
1.320060114,1.341413574
1.314036119,1.34720372
1.316510148,1.341238086
1.318979041,1.343221897
1.312401677,1.339536823
1.308680726,1.352442304
1.317168172,1.35711665
1.311588622,1.3590466
1.321214199,1.355319123
1.321183772,1.372951083
1.302322075,1.342050694
1.312655225,1.33726719
1.308865868,1.348590623
1.308558331,1.343024142
1.323157341,1.340099624
1.310217471,1.349678386
1.325673428,1.355962285
1.315132381,1.335090964
1.316733641,1.353708727
1.305814477,1.353033102
1.325931107,1.345772094
1.308621857,1.358857649
1.305784713,1.356525282
1.312352624,1.337258215
1.323627619,1.345506269
1.313826269,1.345331228
1.326611374,1.361285042
1.323939838,1.36524121
1.31471402,1.351675425
1.308048706,1.341357484
1.301349892,1.352625905
1.298183577,1.347454796
1.315620953,1.336706179
1.322431563,1.344590365
1.303261559,1.34921991
1.319918189,1.358390026
1.315345457,1.353835488
1.293890824,1.360881783
1.314969601,1.347474869
1.316921471,1.33468569
1.302575194,1.352249408
1.331150621,1.338498047
1.303816008,1.352516381
1.324639929,1.34346774
1.314104447,1.340686486
1.320929085,1.351760825
1.300416619,1.346882415
1.305270876,1.353782049
1.297734817,1.353687409
1.293666148,1.345535388
1.314699258,1.337824429
1.319423509,1.348702758
1.308934687,1.346785694
1.311043707,1.351446649
1.327602132,1.352286353
1.32091071,1.343080218
1.319649562,1.340214232
1.316877601,1.357533335
1.319063699,1.331761085
1.310407798,1.346087399
1.310285364,1.344685528
1.31034175,1.348881049
1.310371707,1.339088462
1.314823908,1.330579064
1.307153487,1.362461965
1.305928073,1.341290066
1.319199193,1.340687744
1.319879533,1.347302776
1.321861871,1.350955978
1.311546428,1.328370623
1.304944687,1.352007031
1.306037006,1.344632744
1.33966188,1.344861611
1.309139203,1.345161588
1.309976582,1.335431488
1.308411606,1.348004752
1.307187874,1.353421656
1.330742987,1.347230631
1.323162738,1.342372419
1.313832735,1.341279946
1.330254728,1.339421457
1.309676522,1.347134332
1.324010301,1.346268607
1.314525499,1.347973596
1.325090496,1.333582595
1.30233988,1.346383066
1.313306561,1.345885164
1.322325801,1.340545283
1.309009952,1.351253093
1.313566013,1.344764286
1.312711373,1.35911731
1.314694773,1.3484057
1.318156014,1.367211652
1.303313772,1.333803808
1.316190119,1.343719977
1.296221798,1.346018551
1.323467419,1.339870918
1.315934917,1.338549952
1.306444947,1.353057844
1.30928892,1.357792382
1.32324807,1.339296213
1.324396471,1.336031483
1.317236629,1.357434542
1.315092997,1.342600648
1.321237906,1.351041292
1.311096404,1.340952449
1.293302603,1.356310088
1.309047628,1.359034972
1.308652505,1.353777094
1.313937655,1.35825314
1.3205272,1.355711203
1.301510629,1.342741067
1.32320539,1.360383108
1.302820659,1.34959341
1.314802349,1.341021616
1.302249012,1.343904421
1.31885872,1.341939568
1.316445298,1.337878826
1.312318171,1.344558403
1.321064796,1.351637396
1.324517491,1.343086045
1.293207231,1.345368598
1.316812585,1.348499378
1.311391803,1.350506166
1.318149925,1.335523958
1.314914055,1.360299407
1.321304278,1.351348445
1.312048338,1.344679156
1.318136306,1.336759394
1.335163289,1.34508761
1.3172349,1.35366158
1.30290119,1.325193328
1.30142993,1.344158032
1.310586013,1.322813783
1.322213197,1.349925643
1.306540324,1.357402057
1.305105356,1.3549746
1.306232632,1.334527924
1.313240154,1.348577686
1.318313277,1.345302204
1.320331698,1.352782242
1.29871618,1.358176225
1.313518986,1.345883773
1.333502886,1.349604778
1.299491918,1.338918579
1.320115523,1.357857205
1.330437668,1.343263246
1.311729341,1.342150314
1.309111391,1.343754626
1.308207153,1.363723085
1.30784613,1.332238816
1.31868261,1.345455549
1.311537797,1.351766887
1.319814687,1.333011474
1.319213606,1.352273843
1.334784845,1.339806886
1.314603859,1.352160215
1.328217603,1.341244335
1.325818443,1.334037747
1.31648843,1.34602978
1.315797532,1.336642379
1.319261124,1.342017099
1.320897932,1.35564313
1.313514493,1.351025228
1.318511843,1.346836888
1.323138837,1.343364481
1.316613738,1.354416356
1.313549575,1.330978008
1.308007139,1.3407696
1.321204808,1.338370549
1.323814382,1.35249948
1.29515167,1.347883497
1.323011964,1.345004532
1.316440458,1.348691825
1.314671417,1.341406117
1.316892782,1.352847266
1.308053819,1.348963118
1.305857036,1.35047352
1.321544369,1.343599593
1.320491807,1.340468617
1.310247675,1.360960511
1.317912301,1.347415023
1.315101708,1.350793416
1.324983626,1.341216322
1.303941559,1.353093473
1.313380432,1.347508224
1.312765636,1.338971513
1.319629017,1.32507283
1.328654633,1.33288427
1.309572331,1.353100252
1.320553643,1.334119504
1.318961034,1.345262985
1.307042001,1.361429769
1.317314808,1.349303517
1.326705053,1.334949018
1.315930456,1.354280846
1.324014377,1.34710306
1.314225304,1.346598017
1.304185456,1.341697484
1.323555552,1.346488312
1.324790251,1.343299583
1.323150912,1.334864043
1.31597404,1.34551266
1.314409633,1.351700214
1.308689076,1.349101342
1.32203116,1.346798478
1.317323843,1.3522537
